query_id,query_number,agent_category,answer_key_status,included_in_final_accuracy,evaluation_split,adjudication_scope,verdict,final_score_for_accuracy,answer_correctness,answer_relevancy,numeric_f1,required_claim_recall,lexical_reference_similarity,unit_consistency,contexts_available,num_contexts,faithfulness,context_precision,context_recall,context_sufficiency,context_utilization,rag_composite,notes
D1,1,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.9402834302325581,1.0,0.601889534883721,1.0,1.0,1.0,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D2,2,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.8836979166666666,0.399535816304109,1.0,0.8958333333333333,0.7777777777777778,0.0,False,0,,,,,,,"Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Unit mismatch detected and reported, but not treated as a hard failure."
D3,3,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.9506216216216216,0.39761904761904765,1.0,0.94,0.8108108108108109,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D4,4,Data Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.88,0.8585613971257049,0.5507824123954645,,0.9801739130434782,0.4937238493723849,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; D4 calibrated: high claim coverage.
A1,5,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PARTIAL,0.5893181547619047,0.5754583333333333,0.6678571428571429,0.8,0.4775,0.5,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A2,6,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.95,0.9257114624505928,0.6517045454545456,1.0,0.9181818181818181,0.6956521739130435,1.0,False,0,,,,,,,"Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; A2 calibrated: numeric correlation, n=45, and no-causality caveat present."
A3,7,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.8130279968152966,0.853270561192137,0.584986798679868,0.888888888888889,0.9749210526315789,0.7469879518072289,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A4,8,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.9104285714285714,0.6687500000000001,1.0,0.94,0.5428571428571428,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R1,9,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PARTIAL,0.5558639855756197,0.5597924051754696,0.5336029411764704,,0.7033791208791208,0.12903225806451613,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R2,10,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.4737371468275314,0.4645029585798816,0.5260642135642136,0.33333333333333337,0.94,0.23668639053254434,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
